,Unnamed: 0,name,coordinates,category,location,rating,review_count,state
18,18,Taco Bell,"{'latitude': 44.9502684347719, 'longitude': -74.8443625335316}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '1602 State Highway 37', 'address2': '', 'address3': None, 'city': 'Massena', 'zip_code': '13662', 'country': 'US', 'state': 'NY', 'display_address': ['1602 State Highway 37', 'Massena, NY 13662']}",5.0,4,NY
33,33,McDonald's,"{'latitude': 39.52390750015, 'longitude': -83.4587439894676}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '1401 Leesburg Ave', 'address2': '', 'address3': '', 'city': 'Washington Court House', 'zip_code': '43160', 'country': 'US', 'state': 'OH', 'display_address': ['1401 Leesburg Ave', 'Washington Court House, OH 43160']}",3.5,8,OH
35,35,Wendy's,"{'latitude': 39.532787, 'longitude': -83.445862}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '530 Clinton Avenue', 'address2': '', 'address3': '', 'city': 'Washington C.H.', 'zip_code': '43160', 'country': 'US', 'state': 'OH', 'display_address': ['530 Clinton Avenue', 'Washington C.H., OH 43160']}",2.5,5,OH
47,47,Frisch's Big Boy,"{'latitude': 38.6273398591699, 'longitude': -83.7915819883346}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'diners', 'title': 'Diners'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]","{'address1': '408 Market Square Dr', 'address2': '', 'address3': '', 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['408 Market Square Dr', 'Maysville, KY 41056']}",3.5,15,KY
54,54,Lee's Famous Recipe Chicken,"{'latitude': 38.633732, 'longitude': -83.792804}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'chicken_wings', 'title': 'Chicken Wings'}]","{'address1': 'Highway 68 S', 'address2': '', 'address3': '', 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['Highway 68 S', 'Maysville, KY 41056']}",5.0,3,KY
55,55,Gold Star Chili,"{'latitude': 38.6245022092101, 'longitude': -83.7878417910156}","[{'alias': 'hotdogs', 'title': 'Fast Food'}]","{'address1': '237 Wal-Mart Way', 'address2': '', 'address3': '', 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['237 Wal-Mart Way', 'Maysville, KY 41056']}",3.5,7,KY
56,56,Penn Station East Coast Subs,"{'latitude': 38.619614, 'longitude': -83.783053}","[{'alias': 'sandwiches', 'title': 'Sandwiches'}]","{'address1': '183 Wal Mart Way', 'address2': None, 'address3': None, 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['183 Wal Mart Way', 'Maysville, KY 41056']}",5.0,4,KY
58,58,McDonald's,"{'latitude': 38.6431292285145, 'longitude': -83.7789069734026}","[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '902 US 68', 'address2': '', 'address3': '', 'city': 'Maysville', 'zip_code': '41056', 'country': 'US', 'state': 'KY', 'display_address': ['902 US 68', 'Maysville, KY 41056']}",4.0,6,KY
63,63,Taco Bell,"{'latitude': 44.9502684347719, 'longitude': -74.8443625335316}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'tacos', 'title': 'Tacos'}]","{'address1': '1602 State Highway 37', 'address2': '', 'address3': None, 'city': 'Massena', 'zip_code': '13662', 'country': 'US', 'state': 'NY', 'display_address': ['1602 State Highway 37', 'Massena, NY 13662']}",5.0,4,NY
65,65,McDonald's,"{'latitude': 44.9500428854628, 'longitude': -74.845713533623}","[{'alias': 'hotdogs', 'title': 'Fast Food'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]","{'address1': '6098 State Hwy 37', 'address2': '', 'address3': '', 'city': 'Massena', 'zip_code': '13662', 'country': 'US', 'state': 'NY', 'display_address': ['6098 State Hwy 37', 'Massena, NY 13662']}",3.5,6,NY
